"ID","Intervention","Pretest","School","time","test"
156,1,84,42,1,76
157,1,78,42,1,88
158,0,69,42,1,79
159,0,90,43,1,95
160,0,77,43,1,88
161,1,76,43,1,94
162,1,84,44,1,96
163,1,69,44,1,91
164,1,77,44,1,77
165,1,78,44,1,80
166,0,98,44,1,113
167,0,76,44,1,89
168,0,81,44,1,88
169,0,98,44,1,97
170,1,107,45,1,106
171,1,79,45,1,76
172,0,83,45,1,82
173,0,91,45,1,97
174,0,78,46,1,86
175,0,76,46,1,89
176,1,69,46,1,86
177,1,74,46,1,75
178,1,69,47,1,72
179,1,69,47,1,82
180,0,69,47,1,69
181,0,69,47,1,69
182,0,71,48,1,70
183,0,78,48,1,97
184,1,90,48,1,86
185,1,73,48,1,88
186,0,69,49,1,82
187,0,72,49,1,69
188,1,69,49,1,102
189,1,69,49,1,84
190,0,82,50,1,92
191,0,93,50,1,105
192,1,85,50,1,108
193,1,96,50,1,109
194,1,83,51,1,99
195,0,88,51,1,101
196,0,84,51,1,90
197,1,78,52,1,98
198,1,93,52,1,98
199,0,100,52,1,91
200,0,85,52,1,82
201,1,85,53,1,83
202,1,93,53,1,106
203,0,88,53,1,87
204,0,92,53,1,83
205,0,90,54,1,93
206,0,85,54,1,81
207,0,69,54,1,73
208,1,78,54,1,88
209,1,70,54,1,80
210,1,69,54,1,84
1,1,99,1,2,87
2,1,95,1,2,109
3,0,82,1,2,79
4,0,94,1,2,83
5,1,69,2,2,73
6,1,74,2,2,69
7,0,78,2,2,86
8,0,85,2,2,110
9,1,77,3,2,106
10,1,69,3,2,90
11,0,76,3,2,112
12,0,69,3,2,88
13,1,93,4,2,100
14,1,96,4,2,90
15,0,90,4,2,69
16,0,78,4,2,81
17,1,79,5,2,92
18,1,69,5,2,93
19,0,85,5,2,69
20,0,94,5,2,108
21,1,88,6,2,77
22,1,75,6,2,131
23,0,76,6,2,96
24,0,97,6,2,111
25,1,76,7,2,77
26,1,88,7,2,86
27,0,95,7,2,69
28,0,92,7,2,75
29,1,86,8,2,107
30,1,81,8,2,93
31,0,103,8,2,91
32,0,69,8,2,90
33,0,70,9,2,92
34,0,77,9,2,75
35,1,101,9,2,131
36,1,81,9,2,94
37,1,69,10,2,90
38,1,70,10,2,112
39,0,80,10,2,95
40,0,77,10,2,121
41,0,86,11,2,97
42,0,92,11,2,81
43,1,97,11,2,69
44,1,81,11,2,104
45,1,102,12,2,69
46,1,100,12,2,91
47,0,83,12,2,84
48,0,94,12,2,84
49,0,101,13,2,69
50,0,69,13,2,69
51,1,121,13,2,75
52,1,93,13,2,77
53,1,69,14,2,83
54,0,69,14,2,83
55,0,69,14,2,92
56,0,93,15,2,77
57,0,93,15,2,113
58,1,90,15,2,69
59,1,90,15,2,82
60,0,87,16,2,91
61,0,81,16,2,84
62,1,74,16,2,69
63,1,94,16,2,75
64,1,93,17,2,100
65,1,97,17,2,69
66,0,90,17,2,100
67,0,87,17,2,90
68,0,84,18,2,96
69,0,69,18,2,95
70,1,75,18,2,69
71,1,76,18,2,109
72,1,97,19,2,83
73,1,86,19,2,86
74,0,78,19,2,78
75,0,89,19,2,105
76,1,87,20,2,87
77,1,130,20,2,78
78,0,90,20,2,97
79,1,109,21,2,101
80,1,100,21,2,87
81,0,85,21,2,83
82,0,101,21,2,69
83,0,69,22,2,98
84,0,94,22,2,88
85,1,84,22,2,87
86,0,69,23,2,111
87,0,69,23,2,97
88,1,69,23,2,97
89,0,71,24,2,75
90,0,77,24,2,69
91,1,79,24,2,88
92,1,69,24,2,100
93,1,69,25,2,69
94,1,79,25,2,131
95,0,79,25,2,75
96,0,69,25,2,93
97,1,80,26,2,69
98,1,77,26,2,91
99,0,76,26,2,72
100,0,69,26,2,72
101,0,78,27,2,99
102,0,85,27,2,86
103,1,90,27,2,93
104,1,69,27,2,96
105,0,87,28,2,109
106,0,89,28,2,99
107,1,69,28,2,75
108,1,77,29,2,77
109,1,69,29,2,69
110,0,79,29,2,78
111,0,69,29,2,77
112,1,69,30,2,98
113,1,80,30,2,98
114,0,93,30,2,87
115,0,86,30,2,103
116,1,79,31,2,83
117,1,73,31,2,92
118,0,85,31,2,85
119,0,69,31,2,85
120,0,69,32,2,97
121,0,74,32,2,85
122,1,69,33,2,110
123,1,70,33,2,106
124,0,69,33,2,69
125,0,72,33,2,108
126,1,103,34,2,104
127,1,101,34,2,91
128,0,89,34,2,69
129,0,118,34,2,69
130,1,71,35,2,78
131,1,74,35,2,82
132,0,73,35,2,90
133,0,69,35,2,112
134,1,82,36,2,69
135,1,92,36,2,94
136,0,102,36,2,82
137,0,82,36,2,86
138,1,102,37,2,87
139,1,104,37,2,91
140,0,103,37,2,85
141,0,78,37,2,100
142,1,78,38,2,94
143,1,69,38,2,107
144,0,73,38,2,113
145,0,80,38,2,69
146,0,107,39,2,81
147,0,99,39,2,111
148,1,84,39,2,78
149,1,72,39,2,76
150,1,98,40,2,76
151,1,89,40,2,76
152,0,93,40,2,96
153,1,79,41,2,87
154,0,78,41,2,82
155,0,69,41,2,111
156,1,84,42,2,108
157,1,78,42,2,69
158,0,69,42,2,93
159,0,90,43,2,103
160,0,77,43,2,82
161,1,76,43,2,92
162,1,84,44,2,69
163,1,69,44,2,90
164,1,77,44,2,81
165,1,78,44,2,98
166,0,98,44,2,91
167,0,76,44,2,83
168,0,81,44,2,110
169,0,98,44,2,84
170,1,107,45,2,84
171,1,79,45,2,86
172,0,83,45,2,83
173,0,91,45,2,72
174,0,78,46,2,88
175,0,76,46,2,85
176,1,69,46,2,69
177,1,74,46,2,84
178,1,69,47,2,99
179,1,69,47,2,81
180,0,69,47,2,91
181,0,69,47,2,97
182,0,71,48,2,87
183,0,78,48,2,78
184,1,90,48,2,111
185,1,73,48,2,93
186,0,69,49,2,84
187,0,72,49,2,100
188,1,69,49,2,80
189,1,69,49,2,77
190,0,82,50,2,82
191,0,93,50,2,88
192,1,85,50,2,91
193,1,96,50,2,76
194,1,83,51,2,97
195,0,88,51,2,88
196,0,84,51,2,81
197,1,78,52,2,95
198,1,93,52,2,101
199,0,100,52,2,80
200,0,85,52,2,69
201,1,85,53,2,91
202,1,93,53,2,90
203,0,88,53,2,78
204,0,92,53,2,95
205,0,90,54,2,97
206,0,85,54,2,110
207,0,69,54,2,89
208,1,78,54,2,78
209,1,70,54,2,69
210,1,69,54,2,117
1,1,99,1,3,91
2,1,95,1,3,115
3,0,82,1,3,83
4,0,94,1,3,89
5,1,69,2,3,78
6,1,74,2,3,72
7,0,78,2,3,87
8,0,85,2,3,116
9,1,77,3,3,111
10,1,69,3,3,97
11,0,76,3,3,117
12,0,69,3,3,91
13,1,93,4,3,105
14,1,96,4,3,93
15,0,90,4,3,77
16,0,78,4,3,86
17,1,79,5,3,96
18,1,69,5,3,97
19,0,85,5,3,74
20,0,94,5,3,111
21,1,88,6,3,78
22,1,75,6,3,132
23,0,76,6,3,108
24,0,97,6,3,115
25,1,76,7,3,82
26,1,88,7,3,92
27,0,95,7,3,76
28,0,92,7,3,77
29,1,86,8,3,110
30,1,81,8,3,95
31,0,103,8,3,96
32,0,69,8,3,93
33,0,70,9,3,96
34,0,77,9,3,76
35,1,101,9,3,134
36,1,81,9,3,98
37,1,69,10,3,97
38,1,70,10,3,119
39,0,80,10,3,99
40,0,77,10,3,127
41,0,86,11,3,101
42,0,92,11,3,85
43,1,97,11,3,71
44,1,81,11,3,111
45,1,102,12,3,75
46,1,100,12,3,100
47,0,83,12,3,91
48,0,94,12,3,87
49,0,101,13,3,75
50,0,69,13,3,77
51,1,121,13,3,85
52,1,93,13,3,81
53,1,69,14,3,92
54,0,69,14,3,91
55,0,69,14,3,99
56,0,93,15,3,81
57,0,93,15,3,117
58,1,90,15,3,75
59,1,90,15,3,90
60,0,87,16,3,100
61,0,81,16,3,90
62,1,74,16,3,77
63,1,94,16,3,80
64,1,93,17,3,104
65,1,97,17,3,73
66,0,90,17,3,104
67,0,87,17,3,95
68,0,84,18,3,101
69,0,69,18,3,98
70,1,75,18,3,72
71,1,76,18,3,116
72,1,97,19,3,86
73,1,86,19,3,92
74,0,78,19,3,82
75,0,89,19,3,115
76,1,87,20,3,94
77,1,130,20,3,84
78,0,90,20,3,101
79,1,109,21,3,108
80,1,100,21,3,92
81,0,85,21,3,90
82,0,101,21,3,76
83,0,69,22,3,103
84,0,94,22,3,93
85,1,84,22,3,94
86,0,69,23,3,115
87,0,69,23,3,100
88,1,69,23,3,107
89,0,71,24,3,79
90,0,77,24,3,75
91,1,79,24,3,92
92,1,69,24,3,103
93,1,69,25,3,73
94,1,79,25,3,132
95,0,79,25,3,79
96,0,69,25,3,99
97,1,80,26,3,75
98,1,77,26,3,93
99,0,76,26,3,74
100,0,69,26,3,77
101,0,78,27,3,104
102,0,85,27,3,92
103,1,90,27,3,103
104,1,69,27,3,101
105,0,87,28,3,115
106,0,89,28,3,103
107,1,69,28,3,78
108,1,77,29,3,79
109,1,69,29,3,72
110,0,79,29,3,80
111,0,69,29,3,80
112,1,69,30,3,103
113,1,80,30,3,103
114,0,93,30,3,90
115,0,86,30,3,107
116,1,79,31,3,90
117,1,73,31,3,99
118,0,85,31,3,89
119,0,69,31,3,86
120,0,69,32,3,100
121,0,74,32,3,92
122,1,69,33,3,114
123,1,70,33,3,112
124,0,69,33,3,73
125,0,72,33,3,112
126,1,103,34,3,113
127,1,101,34,3,97
128,0,89,34,3,73
129,0,118,34,3,76
130,1,71,35,3,81
131,1,74,35,3,88
132,0,73,35,3,92
133,0,69,35,3,114
134,1,82,36,3,76
135,1,92,36,3,100
136,0,102,36,3,84
137,0,82,36,3,92
138,1,102,37,3,89
139,1,104,37,3,97
140,0,103,37,3,89
141,0,78,37,3,104
142,1,78,38,3,99
143,1,69,38,3,115
144,0,73,38,3,121
145,0,80,38,3,73
146,0,107,39,3,85
147,0,99,39,3,118
148,1,84,39,3,85
149,1,72,39,3,81
150,1,98,40,3,81
151,1,89,40,3,81
152,0,93,40,3,102
153,1,79,41,3,94
154,0,78,41,3,85
155,0,69,41,3,116
156,1,84,42,3,116
157,1,78,42,3,71
158,0,69,42,3,105
159,0,90,43,3,106
160,0,77,43,3,84
161,1,76,43,3,97
162,1,84,44,3,77
163,1,69,44,3,96
164,1,77,44,3,85
165,1,78,44,3,103
166,0,98,44,3,98
167,0,76,44,3,90
168,0,81,44,3,119
169,0,98,44,3,89
170,1,107,45,3,91
171,1,79,45,3,97
172,0,83,45,3,90
173,0,91,45,3,81
174,0,78,46,3,91
175,0,76,46,3,88
176,1,69,46,3,73
177,1,74,46,3,91
178,1,69,47,3,108
179,1,69,47,3,86
180,0,69,47,3,94
181,0,69,47,3,103
182,0,71,48,3,89
183,0,78,48,3,83
184,1,90,48,3,117
185,1,73,48,3,94
186,0,69,49,3,88
187,0,72,49,3,105
188,1,69,49,3,89
189,1,69,49,3,82
190,0,82,50,3,88
191,0,93,50,3,92
192,1,85,50,3,96
193,1,96,50,3,82
194,1,83,51,3,102
195,0,88,51,3,95
196,0,84,51,3,87
197,1,78,52,3,98
198,1,93,52,3,105
199,0,100,52,3,83
200,0,85,52,3,77
201,1,85,53,3,97
202,1,93,53,3,97
203,0,88,53,3,86
204,0,92,53,3,99
205,0,90,54,3,103
206,0,85,54,3,113
207,0,69,54,3,94
208,1,78,54,3,85
209,1,70,54,3,76
210,1,69,54,3,122
