"education","south","sector","workexp","unionmember","wages","age"
12,0,0,16,1,13.2600002288818,34
10,0,1,44,1,6.09999990463257,60
16,1,1,13,0,3.75,35
13,0,0,8,1,9,27
12,0,0,13,0,9.44999980926514,31
11,0,0,18,1,5.5,35
12,0,1,18,0,8.93000030517578,36
12,1,1,6,0,6.25,24
11,1,0,37,1,9.75,54
12,1,0,2,0,6.73000001907349,20
12,0,0,23,0,7.78000020980835,41
12,0,0,1,0,2.84999990463257,19
12,1,1,10,0,3.34999990463257,28
12,0,0,23,0,19.9799995422363,41
12,0,0,8,1,8.5,26
15,0,1,9,0,9.75,30
12,0,0,33,1,15,51
12,0,1,19,0,8,37
13,0,0,14,0,11.25,33
11,0,0,13,1,14,30
10,0,0,12,0,10,28
12,0,0,8,0,6.5,26
12,0,0,23,0,9.82999992370605,41
14,0,1,13,0,18.5,33
12,1,0,9,0,12.5,27
14,0,0,21,1,26,41
5,1,0,44,0,14,55
12,0,0,4,1,10.5,22
8,0,0,42,0,11,56
13,0,0,10,1,12.4700002670288,29
12,0,0,11,0,12.5,29
12,0,0,40,1,15,58
12,0,0,8,0,6,26
11,1,0,29,0,9.5,46
16,0,0,3,1,5,25
11,0,0,11,0,3.75,28
12,0,0,12,1,12.5699996948242,30
8,0,1,22,0,6.88000011444092,36
12,0,0,12,0,5.5,30
12,0,0,7,1,7,25
12,0,1,15,0,4.5,33
12,0,0,28,0,6.5,46
12,1,0,20,1,12,38
12,1,0,6,0,5,24
12,1,0,5,0,6.5,23
9,1,1,30,0,6.80000019073486,45
13,0,0,18,0,8.75,37
12,1,1,6,0,3.75,24
12,1,0,16,0,4.5,34
12,1,0,1,1,6,19
12,0,0,3,0,5.5,21
12,0,0,8,0,13,26
14,0,0,2,0,5.65000009536743,22
9,0,0,16,0,4.80000019073486,31
10,1,0,9,0,7,25
12,0,0,2,0,5.25,20
7,1,0,43,0,3.34999990463257,56
9,0,0,38,0,8.5,53
12,0,0,9,0,6,27
12,1,0,12,0,6.75,30
12,0,0,18,0,8.89000034332275,36
11,0,0,15,1,14.210000038147,32
11,1,0,28,1,10.7799997329712,45
10,1,0,27,1,8.89999961853027,43
12,1,0,38,0,7.5,56
12,0,1,3,0,4.5,21
12,0,0,41,1,11.25,59
12,1,0,16,1,13.4499998092651,34
13,1,0,7,0,6,26
6,1,1,33,0,4.61999988555908,45
14,0,0,25,0,10.5799999237061,45
12,1,0,5,0,5,23
14,1,0,17,0,8.19999980926514,37
12,1,0,1,0,6.25,19
12,0,0,13,0,8.5,31
16,0,0,18,0,24.9799995422363,40
14,1,0,21,0,16.6499996185303,41
14,0,0,2,0,6.25,22
12,1,1,4,0,4.55000019073486,22
12,1,1,30,0,11.25,48
13,0,0,32,0,21.25,51
17,0,1,13,0,12.6499996185303,36
12,0,0,17,0,7.5,35
14,0,1,26,0,10.25,46
16,0,0,9,0,3.34999990463257,31
16,0,0,8,0,13.4499998092651,30
15,0,0,1,1,4.84000015258789,22
17,1,0,32,0,26.2900009155273,55
12,0,1,24,0,6.57999992370605,42
14,0,1,1,0,44.5,21
12,0,0,42,0,15,60
16,0,1,3,0,11.25,25
12,0,1,32,0,7,50
14,0,0,22,0,10,42
16,0,0,18,0,14.5299997329712,40
18,0,1,19,0,20,43
15,0,0,12,0,22.5,33
12,0,1,42,0,3.64000010490417,60
12,1,0,34,0,10.6199998855591,52
18,0,0,29,0,24.9799995422363,53
16,1,0,8,0,6,30
18,0,0,13,0,19,37
16,0,0,10,0,13.1999998092651,32
16,0,0,22,0,22.5,44
16,1,0,10,0,15,32
17,0,1,15,0,6.88000011444092,38
12,0,0,26,0,11.8400001525879,44
14,0,0,16,0,16.1399993896484,36
18,0,1,14,0,13.9499998092651,38
12,0,1,38,0,13.1599998474121,56
12,1,0,14,0,5.30000019073486,32
12,0,1,7,0,4.5,25
18,1,1,13,0,10,37
10,0,0,20,0,10,36
16,0,0,7,1,10,29
16,0,1,26,0,9.36999988555908,48
16,0,0,14,0,5.80000019073486,36
13,0,0,36,0,17.8600006103516,55
12,0,0,24,0,1,42
14,1,0,41,0,8.80000019073486,61
16,0,0,7,0,9,29
17,1,0,14,0,18.1599998474121,37
12,1,1,1,0,7.80999994277954,19
16,0,1,6,0,10.6199998855591,28
12,0,1,3,0,4.5,21
15,0,0,31,0,17.25,52
13,0,1,14,0,10.5,33
14,0,1,13,0,9.22000026702881,33
16,0,0,26,1,15,48
18,0,0,14,0,22.5,38
13,0,1,33,0,4.55000019073486,52
12,0,0,16,0,9,34
18,0,0,10,0,13.3299999237061,34
14,0,0,22,0,15,42
14,0,0,2,0,7.5,22
12,1,1,29,0,4.25,47
12,0,0,43,0,12.5,61
12,0,1,5,0,5.13000011444092,23
16,1,1,14,0,3.34999990463257,36
12,1,0,28,0,11.1099996566772,46
11,1,1,25,0,3.83999991416931,42
12,0,1,45,0,6.40000009536743,63
14,1,0,5,0,5.55999994277954,25
12,1,0,20,0,10,38
16,0,1,6,0,5.65000009536743,28
16,0,0,16,0,11.5,38
11,0,1,33,0,3.5,50
13,1,1,2,0,3.34999990463257,21
12,1,1,10,0,4.75,28
14,1,0,44,0,19.9799995422363,64
14,1,1,6,0,3.5,26
12,0,1,15,0,4,33
12,0,0,5,0,7,23
13,0,1,4,0,6.25,23
14,0,0,14,0,4.5,34
14,0,1,32,0,14.289999961853,52
12,0,1,14,0,5,32
14,0,0,21,0,13.75,41
12,0,0,43,1,13.710000038147,61
12,1,1,27,0,7.5,45
12,0,1,4,0,3.79999995231628,22
14,0,0,0,0,5,20
12,1,0,32,0,9.42000007629395,50
12,0,0,20,0,5.5,38
15,1,0,4,0,3.75,25
12,0,0,34,0,3.5,52
13,0,0,5,0,5.80000019073486,24
17,0,0,13,0,12,36
14,0,1,17,0,5,37
13,1,1,10,0,8.75,29
16,0,1,7,0,10,29
12,0,1,25,0,8.5,43
12,0,1,18,0,8.63000011444092,36
16,0,1,27,0,9,49
16,0,1,2,0,5.5,24
13,0,0,13,0,11.1099996566772,32
14,0,1,24,0,10,44
18,1,1,13,0,5.19999980926514,37
14,0,1,15,1,8,35
12,1,1,12,0,3.55999994277954,30
12,0,1,24,0,5.19999980926514,42
12,0,1,43,0,11.6700000762939,61
12,0,1,13,0,11.3199996948242,31
12,1,1,16,0,7.5,34
11,0,1,24,0,5.5,41
16,1,1,4,0,5,26
12,0,1,24,0,7.75,42
12,0,1,45,0,5.25,63
12,0,0,20,1,9,38
12,0,1,38,0,9.64999961853027,56
18,1,0,10,0,5.21000003814697,34
11,0,1,16,0,7,33
12,1,1,32,0,12.1599998474121,50
16,1,1,2,0,5.25,24
13,1,1,28,0,10.3199996948242,47
16,0,0,3,0,3.34999990463257,25
13,0,1,8,1,7.69999980926514,27
12,0,1,44,0,9.17000007629395,62
12,1,0,12,0,8.43000030517578,30
12,1,0,8,0,4,26
12,0,1,4,0,4.13000011444092,22
12,1,1,28,0,3,46
13,1,1,0,0,4.25,19
14,1,0,1,0,7.53000020980835,21
14,0,1,12,0,10.5299997329712,32
12,0,1,39,0,5,57
12,0,1,24,0,15.0299997329712,42
17,0,1,32,0,11.25,55
16,0,0,4,0,6.25,26
12,0,1,25,0,3.5,43
12,0,0,8,0,6.84999990463257,26
13,0,1,16,0,12.5,35
12,1,0,5,0,12,23
13,0,0,31,0,6,50
12,0,1,25,0,9.5,43
12,0,1,15,0,4.09999990463257,33
14,1,1,15,0,10.4300003051758,35
12,0,1,0,0,5,18
12,0,0,19,0,7.69000005722046,37
12,0,1,21,0,5.5,39
12,0,1,6,0,6.40000009536743,24
12,0,1,14,1,12.5,32
13,0,1,30,0,6.25,49
12,0,1,8,0,8,26
9,0,0,33,1,9.60000038146973,48
13,0,0,16,0,9.10000038146973,35
12,1,1,20,0,7.5,38
13,1,1,6,0,5,25
12,0,1,10,1,7,28
13,1,1,1,0,3.54999995231628,20
12,1,0,2,0,8.5,20
13,1,1,0,0,4.5,19
16,0,0,17,0,7.88000011444092,39
12,0,1,8,0,5.25,26
12,1,0,4,0,5,22
12,0,1,15,0,9.32999992370605,33
12,0,1,29,0,10.5,47
12,1,1,23,0,7.5,41
12,1,1,39,0,9.5,57
12,1,1,14,0,9.60000038146973,32
17,1,1,6,0,5.86999988555908,29
14,1,0,12,1,11.0200004577637,32
12,1,1,26,0,5,44
14,0,1,32,0,5.61999988555908,52
15,0,1,6,0,12.5,27
12,0,1,40,0,10.8100004196167,58
12,0,1,18,0,5.40000009536743,36
11,0,1,12,0,7,29
12,1,1,36,0,4.59000015258789,54
12,0,1,19,0,6,37
16,0,1,42,0,11.710000038147,64
13,0,1,2,0,5.61999988555908,21
12,0,1,33,0,5.5,51
12,1,1,14,0,4.84999990463257,32
12,0,0,22,0,6.75,40
12,0,1,20,0,4.25,38
12,0,1,15,0,5.75,33
12,0,0,35,0,3.5,53
12,0,1,7,0,3.34999990463257,25
12,0,1,45,0,10.6199998855591,63
12,0,1,9,0,8,27
12,1,1,2,0,4.75,20
17,1,0,3,0,8.5,26
14,0,1,19,1,8.85000038146973,39
12,1,1,14,0,8,32
4,0,0,54,0,6,64
14,0,0,17,0,7.1399998664856,37
8,0,1,29,0,3.40000009536743,43
15,1,1,26,0,6,47
2,0,0,16,0,3.75,24
8,0,1,29,0,8.89000034332275,43
11,0,1,20,0,4.34999990463257,37
10,1,1,38,0,13.1000003814697,54
8,1,1,37,0,4.34999990463257,51
9,0,0,48,0,3.5,63
12,0,1,16,0,3.79999995231628,34
8,0,1,38,0,5.26000022888184,52
14,0,0,0,0,3.34999990463257,20
12,0,0,14,1,16.2600002288818,32
12,0,1,2,0,4.25,20
16,0,0,21,0,4.5,43
13,0,1,15,0,8,34
16,0,1,20,0,4,42
14,0,1,12,0,7.96000003814697,32
12,1,0,7,0,4,25
11,0,0,4,0,4.15000009536743,21
13,1,0,9,0,5.94999980926514,28
12,1,1,43,0,3.59999990463257,61
10,1,0,19,0,8.75,35
8,0,1,49,0,3.40000009536743,63
12,0,1,38,0,4.28000020980835,56
12,0,1,13,0,5.34999990463257,31
12,0,1,14,0,5,32
12,0,0,20,0,7.65000009536743,38
12,0,1,7,0,6.94000005722046,25
12,0,1,9,1,7.5,27
12,0,1,6,0,3.59999990463257,24
12,1,1,5,0,1.75,23
13,1,1,1,0,3.45000004768372,20
14,0,0,22,1,9.63000011444092,42
12,0,1,24,0,8.48999977111816,42
12,0,1,15,1,8.98999977111816,33
11,1,1,8,0,3.65000009536743,25
11,1,1,17,0,3.5,34
12,1,0,2,0,3.4300000667572,20
12,1,0,20,0,5.5,38
12,0,0,26,1,6.92999982833862,44
10,1,1,37,0,3.50999999046326,53
12,0,1,41,0,3.75,59
12,0,1,27,0,4.17000007629395,45
12,0,1,5,1,9.56999969482422,23
14,0,0,16,0,14.6700000762939,36
14,0,1,19,0,12.5,39
12,0,0,10,0,5.5,28
13,1,0,1,1,5.15000009536743,20
12,0,1,43,1,8,61
13,0,0,3,0,5.82999992370605,22
12,0,1,0,0,3.34999990463257,18
12,1,1,26,0,7,44
10,0,1,25,1,10,41
12,0,1,15,0,8,33
14,1,1,10,0,6.88000011444092,30
11,0,1,45,1,5.55000019073486,62
11,0,0,3,0,7.5,20
8,0,0,47,1,8.93000030517578,61
16,0,1,6,0,9,28
10,1,1,33,0,3.5,49
16,0,0,3,0,5.76999998092651,25
14,0,0,4,1,25,24
14,0,0,34,1,6.84999990463257,54
11,1,0,39,0,6.5,56
12,1,1,17,0,3.75,35
9,0,0,47,1,3.5,62
11,0,0,2,0,4.5,19
13,1,0,0,0,2.00999999046326,19
14,0,1,24,0,4.17000007629395,44
12,0,0,25,1,13,43
14,0,1,6,0,3.98000001907349,26
12,0,1,10,0,7.5,28
12,0,1,33,0,13.1199998855591,51
12,0,0,12,0,4,30
12,1,1,9,0,3.95000004768372,27
11,1,0,18,1,13,35
12,0,0,10,0,9,28
8,1,1,45,0,4.55000019073486,59
9,0,1,46,1,9.5,61
7,1,0,14,0,4.5,27
11,0,1,36,0,8.75,53
13,0,0,34,1,10,53
18,0,0,15,0,18,39
17,0,0,31,0,24.9799995422363,54
16,0,1,6,0,12.0500001907349,28
14,1,0,15,0,22,35
12,0,0,30,0,8.75,48
18,0,0,8,0,22.2000007629395,32
18,0,0,5,0,17.25,29
17,0,1,3,1,6,26
13,1,0,17,0,8.0600004196167,36
16,0,0,5,1,9.23999977111816,27
14,0,1,10,0,12,30
15,0,1,33,0,10.6099996566772,54
18,0,0,3,0,5.71000003814697,27
16,0,1,0,0,10,18
16,1,0,13,0,17.5,35
18,0,0,12,0,15,36
16,0,1,6,0,7.78000020980835,28
17,0,0,7,0,7.80000019073486,30
16,1,0,14,1,10,36
17,0,1,5,0,24.9799995422363,28
15,1,1,10,0,10.2799997329712,31
18,0,1,11,0,15,35
17,0,1,24,0,12,47
16,0,0,9,0,10.5799999237061,31
18,1,0,12,0,5.84999990463257,36
18,0,0,19,0,11.2200002670288,43
14,0,1,14,0,8.5600004196167,34
16,0,1,17,0,13.8900003433228,39
18,1,0,7,0,5.71000003814697,31
18,0,0,7,0,15.789999961853,31
16,0,1,22,0,7.5,44
12,0,1,28,0,11.25,46
16,0,1,16,0,6.15000009536743,38
16,1,0,16,0,13.4499998092651,38
16,0,1,7,0,6.25,29
12,0,1,11,0,6.5,29
12,0,1,11,0,12,29
12,0,1,16,0,8.5,34
18,0,0,33,1,8,57
12,1,1,21,0,5.75,39
16,0,0,4,0,15.7299995422363,26
15,0,0,13,0,9.85999965667725,34
18,0,0,14,1,13.5100002288818,38
16,0,1,10,0,5.40000009536743,32
18,1,0,14,0,6.25,38
16,1,0,29,0,5.5,51
12,0,0,4,0,5,22
18,0,0,27,0,6.25,51
12,0,0,3,0,5.75,21
16,1,0,14,1,20.5,36
14,0,0,0,0,5,20
18,0,0,33,0,7,57
16,1,0,38,0,18,60
18,0,1,18,1,12,42
17,0,0,3,0,20.3999996185303,26
18,0,1,40,0,22.2000007629395,64
14,0,0,19,0,16.4200000762939,39
14,0,1,4,0,8.63000011444092,24
16,0,1,11,0,19.3799991607666,33
16,0,1,16,0,14,38
14,0,0,22,0,10,42
17,0,1,13,1,15.9499998092651,36
16,1,1,28,1,20,50
16,0,1,10,0,10,32
16,1,1,5,0,24.9799995422363,27
15,0,0,5,0,11.25,26
18,0,1,37,0,22.8299999237061,61
17,0,1,26,1,10.1999998092651,49
16,1,1,4,0,10,26
18,0,1,31,1,14,55
17,0,1,13,1,12.5,36
12,0,1,42,0,5.78999996185303,60
17,0,0,18,0,24.9799995422363,41
12,0,1,3,0,4.34999990463257,21
17,0,1,10,0,11.25,33
16,0,1,10,1,6.67000007629395,32
16,0,1,17,0,8,39
18,0,0,7,0,18.1599998474121,31
16,0,1,14,0,12,36
16,0,1,22,1,8.89000034332275,44
17,0,1,14,0,9.5,37
16,0,0,11,0,13.6499996185303,33
18,0,0,23,1,12,47
12,0,0,39,1,15,57
16,0,0,15,0,12.6700000762939,37
14,0,1,15,0,7.38000011444092,35
16,0,0,10,0,15.5600004196167,32
12,1,1,25,0,7.44999980926514,43
14,0,1,12,0,6.25,32
16,1,1,7,0,6.25,29
17,0,0,7,1,9.36999988555908,30
16,0,0,17,0,22.5,39
16,0,0,10,1,7.5,32
17,1,0,2,0,7,25
9,1,1,34,1,5.75,49
15,0,1,11,0,7.67000007629395,32
15,0,0,10,0,12.5,31
12,1,0,12,0,16,30
16,0,1,6,1,11.789999961853,28
18,0,0,5,0,11.3599996566772,29
12,0,1,33,0,6.09999990463257,51
17,0,1,25,1,23.25,48
12,1,0,13,1,19.8799991607666,31
16,0,0,33,0,15.3800001144409,55
